id,구분,공정유형,별칭,관련시설,근거법령,설명_한줄,설명_전체,슬롯,사업장수,수록공정수
UT-WATER,유틸리티공정,용수 공급공정,용수공급공정 / 공정수 공급공정 / 냉각수 공급공정 / 생활용수 공급공정,저수조 / 용수저장탱크 / 냉각탑 / 펌프,,{용수}를 저장한 후 각 시설의 소요처에 공급하는 공정이다.,"{용수}를 저장한 후 각 시설의 소요처에 공급하는 공정이다.
공정수·냉각수·재이용수를 구분하여 저장하고 필요 설비에 공급한다.
역세수·농축수 등 발생 폐수는 {이송처}로 이송하여 처리한다.",용수 / 이송처,27,28
UT-PURE,유틸리티공정,순수·연수 제조공정,순수제조공정 / 연수제조공정 / 정수공정 / 탈염공정,연수기 / 역삼투(RO)설비 / 이온교환수지탑 / 여과기,,보일러 급수로 사용하기 위해 원수의 경도 성분(칼슘·마그네슘)을 제거하여 {용수}를 제조하는 공정이다.,"보일러 급수로 사용하기 위해 원수의 경도 성분(칼슘·마그네슘)을 제거하여 {용수}를 제조하는 공정이다.
제조된 순수는 폐열보일러에 공급되어 증기 생산에 사용된다.
역세수 등 발생 폐수는 {이송처}로 이송하고, 폐이온교환수지 등 폐기물은 {처분방법}한다.",용수 / 이송처 / 처분방법,21,24
UT-FUEL,유틸리티공정,연료·원료 저장공정,연료저장공정 / 원료(폐기물) 저장공정 / 폐기물 저장공정 / 연료(폐기물) 저장공정,폐기물 저장조(피트) / 유류저장탱크 / 반입장 / 크레인,,소각시설의 주원료인 {대상물}과 보조연료를 반입하여 저장하는 공정이다.,"소각시설의 주원료인 {대상물}과 보조연료를 반입하여 저장하는 공정이다.
저장시설에서 발생하는 {오염물질}는 소각로 연소용 공기로 유입하여 처리한다.
반입장에서 발생하는 침출수는 소각로에 투입하거나 {이송처}로 이송한다.",대상물 / 오염물질 / 이송처,34,56
UT-CHEM,유틸리티공정,사용물질 저장공정,사용물질 저장공정 / 약품 저장공정 / 기타물질 저장공정,약품저장탱크 / 사일로 / 정량펌프,,각 공정에서 사용되는 물질({약품} 등)을 입고하여 저장한 후 사용시설에 공급하는 공정이다.,"각 공정에서 사용되는 물질({약품} 등)을 입고하여 저장한 후 사용시설에 공급하는 공정이다.
저장시설에서 발생하는 {오염물질}는 {방지시설}을 거쳐 저감한 후 배출한다.",방지시설 / 약품 / 오염물질,41,46
UT-AIR,유틸리티공정,압축공기 공급공정,압축공기 공급공정 / 공기압축공정 / 압축공기 제조공정 / 계장용 공기공정,공기압축기 / 에어탱크 / 에어드라이어,,공정 운영 및 제어에 필요한 압축공기를 생산·저장하여 각 사용시설에 공급하는 공정이다.,"공정 운영 및 제어에 필요한 압축공기를 생산·저장하여 각 사용시설에 공급하는 공정이다.
여과집진시설 펄싱용, 반응탑 약품 분무용, 계장용 등으로 사용된다.",,28,28
UT-BOILER,유틸리티공정,보조보일러 공정,보조보일러공정 / 난방공정,보조보일러 / 버너,,연소용 공기와 연료(LNG·경유 등)를 공급받아 별도의 보일러에서 증기를 생산하는 공정이다.,"연소용 공기와 연료(LNG·경유 등)를 공급받아 별도의 보일러에서 증기를 생산하는 공정이다.
소각로 정지 시나 초기 승온 시 및 난방용 에너지로 이용한다.",,2,2
PR-IN,생산공정,반입·전처리공정,반입공정 / 전처리공정 / 보관공정 / 하역공정,계량대 / 반입장 / 저장조 / 전처리설비,,{대상물}을 반입하여 계량·검수한 후 성상별로 구분하여 보관하는 공정이다.,"{대상물}을 반입하여 계량·검수한 후 성상별로 구분하여 보관하는 공정이다.
후속 처리가 가능하도록 파쇄·선별 등 전처리를 거쳐 저장한다.
반입장에서 발생하는 {오염물질}는 소각로 연소용 공기로 유입하거나 {방지시설}에서 처리한다.",대상물 / 방지시설 / 오염물질,14,16
PR-CRUSH,생산공정,파쇄·분쇄공정,파쇄공정 / 분쇄공정 / 파쇄·선별공정 / 절단공정 / 해체공정 / 멸균분쇄공정,파쇄·분쇄시설 / 절단시설 / 압축시설 / 멸균분쇄시설,"폐기물관리법 시행령 [별표 3] 1.나.2)·3)·9), 3.가.2)·3)",{대상물}을 파쇄·분쇄시설에 투입하여 {입도}로 파쇄하는 공정이다.,"{대상물}을 파쇄·분쇄시설에 투입하여 {입도}로 파쇄하는 공정이다.
파쇄물은 후속 {시설}에 투입하기 적합한 크기·성상으로 균질화된다.
파쇄 과정에서 발생하는 {오염물질}는 {방지시설} 또는 살수시설을 가동하여 저감한다.",대상물 / 방지시설 / 시설 / 오염물질 / 입도,4,4
PR-SORT,생산공정,선별공정,선별공정 / 자력선별공정 / 비중선별공정 / 재활용 선별공정,선별시설 / 자력선별기 / 풍력선별기 / 트롬멜,,{대상물}을 선별시설에 투입하여 재질별로 분리하는 공정이다.,"{대상물}을 선별시설에 투입하여 재질별로 분리하는 공정이다.
자력선별기로 고철류를 분리하여 {처분방법}하고, 잔재물은 후속 공정으로 이송한다.
선별 과정에서 발생하는 {오염물질}는 {방지시설}을 거쳐 저감 후 배출한다.",대상물 / 방지시설 / 오염물질 / 처분방법,1,1
PR-SRF,생산공정,고형연료제품 제조공정,고형연료제품 제조공정 / 연료화공정 / 성형공정 / SRF 제조공정,연료화시설 / 성형시설 / 압축·압출시설,폐기물관리법 시행령 [별표 3] 3.가.1)·5),{대상물}을 선별·분쇄 공정을 거쳐 {생산물}을 제조하는 공정이다.,"{대상물}을 선별·분쇄 공정을 거쳐 {생산물}을 제조하는 공정이다.
제조된 고형연료제품은 저장시설에 보관한 후 소각로에 투입하거나 외부에 판매한다.
분쇄·이송 과정에서 발생하는 {오염물질}는 {방지시설}에서 처리한다.",대상물 / 방지시설 / 생산물 / 오염물질,2,2
